District,Crop,Year,Predicted_Production
Agar Malwa,linseed,2025,409.39
Agar Malwa,maize,2025,10832.4
Agar Malwa,mango,2025,10146.1
Agar Malwa,mesta,2025,1023.98
Agar Malwa,mungbean,2025,2262.43
Agar Malwa,onion,2025,5263.18
Agar Malwa,orange,2025,2143.71
Agar Malwa,other fibres,2025,208.74
Agar Malwa,other fresh fruits,2025,233.19
Agar Malwa,other kharif pulses,2025,48.5
Agar Malwa,other misc. pulses,2025,48.5
Agar Malwa,other oilseeds,2025,636.33
Agar Malwa,other rabi pulses,2025,412.77
Agar Malwa,other vegetables,2025,731.88
Agar Malwa,pigeonpeas,2025,707.64
Agar Malwa,pomegranate,2025,3298.0
Agar Malwa,potato,2025,6988.73
Agar Malwa,ragi,2025,1175.01
Agar Malwa,rapeseed &mustard,2025,2234.06
Agar Malwa,rice,2025,1003.26
Agar Malwa,safflower,2025,163.6
Agar Malwa,samai,2025,34.4
Agar Malwa,sesamum,2025,968.1
Agar Malwa,small millets,2025,2667.87
Agar Malwa,soyabean,2025,729.0
Agar Malwa,sugarcane,2025,564.47
Agar Malwa,sunflower,2025,637.76
Agar Malwa,sweet potato,2025,539.11
Agar Malwa,tobacco,2025,236.26
Agar Malwa,tomato,2025,2317.18
Agar Malwa,turmeric,2025,709.32
Agar Malwa,varagu,2025,493.44
Agar Malwa,wheat,2025,1632.09
Agar Malwa,barley,2025,4761.46
Agar Malwa,dry ginger,2025,311.13
Agar Malwa,other  rabi pulses,2025,108.19
Agar Malwa,peas & beans (pulses),2025,159.55
Agar Malwa,sannhamp,2025,24.74
Agar Malwa,guar seed,2025,173.14
Agar Malwa,jute,2025,4649.48
Agar Malwa,moth,2025,1123.85
Agar Malwa,oilseeds total,2025,2363.8
Agar Malwa,total foodgrain,2025,5714.8
Agar Malwa,other cereals & millets,2025,306.08
Agar Malwa,pulses total,2025,7138.28
Agar Malwa,grapes,2025,1021.76
Agar Malwa,niger seed,2025,577.43
Agar Malwa,coconut,2025,4470.96
Agar Malwa,kapas,2025,4649.48
Agar Malwa,tapioca,2025,676.14
Agar Malwa,arecanut,2025,1044.16
Agar Malwa,bitter gourd,2025,794.1
Agar Malwa,black pepper,2025,894.66
Agar Malwa,cashewnut raw,2025,95.2
Agar Malwa,drum stick,2025,374.77
Agar Malwa,jack fruit,2025,389.53
Agar Malwa,papaya,2025,6314.64
Agar Malwa,pineapple,2025,1513.12
Agar Malwa,pump kin,2025,2399.48
Agar Malwa,rubber,2025,163.6
Agar Malwa,snak guard,2025,2191.04
Agar Malwa,watermelon,2025,493.32
Agar Malwa,korra,2025,4727.41
Agar Malwa,lemon,2025,4818.07
Agar Malwa,sapota,2025,872.73
Agar Malwa,cond-spcs other,2025,4831.46
Agar Malwa,paddy,2025,11039.34
Agar Malwa,cauliflower,2025,96.63
Agar Malwa,khesari,2025,4649.48
Agar Malwa,other citrus fruit,2025,213.94
Agar Malwa,arcanut (processed),2025,1044.16
Agar Malwa,atcanut (raw),2025,1058.97
Agar Malwa,cardamom,2025,28.34
Agar Malwa,cashewnut processed,2025,31.6
Agar Malwa,carrot,2025,29.3
Agar Malwa,redish,2025,271.3
Agar Malwa,peas  (vegetable),2025,159.55
Agar Malwa,ash gourd,2025,1044.16
Agar Malwa,beet root,2025,906.89
Agar Malwa,lab-lab,2025,4818.07
Agar Malwa,ribed guard,2025,239.15
Agar Malwa,yam,2025,1632.09
Agar Malwa,jute & mesta,2025,4649.48
Agar Malwa,colocosia,2025,4554.97
Agar Malwa,tea,2025,310.57
Agar Malwa,apple,2025,1044.16
Agar Malwa,peach,2025,300.09
Agar Malwa,pear,2025,222.31
Agar Malwa,plums,2025,3165.18
Agar Malwa,turnip,2025,695.98
Agar Malwa,coffee,2025,4554.97
Agar Malwa,bean,2025,899.46
Agar Malwa,jobster,2025,389.53
Agar Malwa,perilla,2025,158.8
Agar Malwa,rajmash kholar,2025,1474.38
Agar Malwa,ricebean (nagadal),2025,163.6
Agar Malwa,litchi,2025,409.39
Agar Malwa,peas (vegetable),2025,159.55
Agar Malwa,ber,2025,898.77
Agar Malwa,other dry fruit,2025,185.46
Agra,bajra,2025,902.47
Agra,banana,2025,3190.61
Agra,beans & mutter(vegetable),2025,876.34
Agra,bhindi,2025,884.23
Agra,blackgram,2025,128.95
Agra,bottle gourd,2025,128.19
Agra,brinjal,2025,13076.35
Agra,cabbage,2025,677.45
Agra,cashewnut,2025,426.64
Agra,castor seed,2025,504.46
Agra,chickpea,2025,3355.11
Agra,citrus fruit,2025,2442.21
Agra,coriander,2025,32.88
Agra,cotton,2025,387.89
Agra,cowpea(lobia),2025,518.24
Agra,cucumber,2025,518.24
Agra,dry chillies,2025,247.56
Agra,garlic,2025,266.0
Agra,ginger,2025,395.8
Agra,groundnut,2025,420.79
Agra,horse-gram,2025,277.32
Agra,jowar,2025,3861.65
Agra,lentil,2025,916.66
Agra,linseed,2025,486.34
Agra,maize,2025,702.01
Agra,mango,2025,2219.35
Agra,mesta,2025,851.28
Agra,mungbean,2025,444.37
Agra,onion,2025,2540.54
Agra,orange,2025,2618.6
Agra,other fibres,2025,341.85
Agra,other fresh fruits,2025,395.54
Agra,other kharif pulses,2025,363.48
Agra,other misc. pulses,2025,363.48
Agra,other oilseeds,2025,783.39
Agra,other rabi pulses,2025,559.83
Agra,other vegetables,2025,878.94
Agra,pigeonpeas,2025,678.45
Agra,pomegranate,2025,2512.5
Agra,potato,2025,1027.5
Agra,ragi,2025,1096.38
Agra,rapeseed &mustard,2025,854.2
Agra,rice,2025,1766.61
Agra,safflower,2025,163.6
Agra,samai,2025,19.81
Agra,sesamum,2025,295.13
Agra,small millets,2025,2503.32
Agra,soyabean,2025,836.82
Agra,sugarcane,2025,7277.87
Agra,sunflower,2025,483.83
Agra,sweet potato,2025,1741.85
Agra,tobacco,2025,444.65
Agra,tomato,2025,2046.24
Agra,turmeric,2025,365.04
Agra,varagu,2025,321.04
Agra,wheat,2025,785.68
Agra,barley,2025,5547.75
Agra,dry ginger,2025,142.02
Agra,other  rabi pulses,2025,118.15
Agra,peas & beans (pulses),2025,161.56
Agra,sannhamp,2025,7.79
Agra,guar seed,2025,188.38
Agra,jute,2025,678.55
Agra,moth,2025,982.13
Agra,oilseeds total,2025,1380.09
Agra,total foodgrain,2025,5418.24
Agra,other cereals & millets,2025,346.71
Agra,pulses total,2025,6601.19
Agra,grapes,2025,428.43
Agra,niger seed,2025,577.43
Agra,coconut,2025,2443.16
Agra,kapas,2025,678.55
Agra,tapioca,2025,1369.6
Agra,arecanut,2025,895.15
Agra,bitter gourd,2025,771.76
Agra,black pepper,2025,806.25
Agra,cashewnut raw,2025,499.53
Agra,drum stick,2025,281.28
Agra,jack fruit,2025,403.58
Agra,papaya,2025,6314.64
Agra,pineapple,2025,728.28
Agra,pump kin,2025,2438.44
Agra,rubber,2025,163.6
Agra,snak guard,2025,2046.95
Agra,watermelon,2025,320.24
Agra,korra,2025,917.06
Agra,lemon,2025,947.68
Agra,sapota,2025,831.04
Agra,cond-spcs other,2025,32.88
Agra,paddy,2025,11039.34
Agra,cauliflower,2025,504.46
Agra,khesari,2025,678.55
Agra,other citrus fruit,2025,254.58
Agra,arcanut (processed),2025,895.15
Agra,atcanut (raw),2025,902.47
Agra,cardamom,2025,427.44
Agra,cashewnut processed,2025,437.3
Agra,carrot,2025,428.26
Agra,redish,2025,278.55
Agra,peas  (vegetable),2025,161.56
Agra,ash gourd,2025,895.15
Agra,beet root,2025,883.77
Agra,lab-lab,2025,947.68
Agra,ribed guard,2025,246.4
Agra,yam,2025,785.68
Agra,jute & mesta,2025,678.55
Agra,colocosia,2025,2527.17
Agra,tea,2025,713.69
Agra,apple,2025,895.15
Agra,peach,2025,302.1
Agra,pear,2025,224.32
Agra,plums,2025,2377.25
Agra,turnip,2025,358.21
Agra,coffee,2025,2527.17
Agra,bean,2025,876.34
Agra,jobster,2025,403.58
Agra,perilla,2025,160.81
Agra,rajmash kholar,2025,1139.91
Agra,ricebean (nagadal),2025,163.6
Agra,litchi,2025,486.34
Agra,peas (vegetable),2025,161.56
Agra,ber,2025,884.23
Agra,other dry fruit,2025,226.06
Ahmadabad,bajra,2025,5793.44
Ahmadabad,banana,2025,3580.26
Ahmadabad,beans & mutter(vegetable),2025,876.34
Ahmadabad,bhindi,2025,884.23
Ahmadabad,blackgram,2025,347.91
Ahmadabad,bottle gourd,2025,335.43
Ahmadabad,brinjal,2025,13112.78
Ahmadabad,cabbage,2025,864.99
Ahmadabad,cashewnut,2025,613.36
Ahmadabad,castor seed,2025,729.0
Ahmadabad,chickpea,2025,6859.43
Ahmadabad,citrus fruit,2025,3972.2
Ahmadabad,coriander,2025,32.88
Ahmadabad,cotton,2025,711.23
Ahmadabad,cowpea(lobia),2025,597.71
Ahmadabad,cucumber,2025,597.71
Ahmadabad,dry chillies,2025,295.76
Ahmadabad,garlic,2025,799.36
Ahmadabad,ginger,2025,372.13
Ahmadabad,groundnut,2025,379.33
Ahmadabad,horse-gram,2025,2116.95
Ahmadabad,jowar,2025,3660.69
Ahmadabad,lentil,2025,916.66
Ahmadabad,linseed,2025,490.47
Ahmadabad,maize,2025,679.55
Ahmadabad,mango,2025,2321.57
Ahmadabad,mesta,2025,1071.64
Ahmadabad,mungbean,2025,891.72
Ahmadabad,onion,2025,2649.36
Ahmadabad,orange,2025,2741.75
Ahmadabad,other fibres,2025,1395.51
Ahmadabad,other fresh fruits,2025,1479.51
Ahmadabad,other kharif pulses,2025,1897.36
Ahmadabad,other misc. pulses,2025,1897.36
Ahmadabad,other oilseeds,2025,1309.77
Ahmadabad,other rabi pulses,2025,1086.21
Ahmadabad,other vegetables,2025,1348.42
Ahmadabad,pigeonpeas,2025,804.44
Ahmadabad,pomegranate,2025,2579.5
Ahmadabad,potato,2025,1027.5
Ahmadabad,ragi,2025,2680.15
Ahmadabad,rapeseed &mustard,2025,1241.46
Ahmadabad,rice,2025,2310.26
Ahmadabad,safflower,2025,586.28
Ahmadabad,samai,2025,97.34
Ahmadabad,sesamum,2025,949.11
Ahmadabad,small millets,2025,2594.17
Ahmadabad,soyabean,2025,791.71
Ahmadabad,sugarcane,2025,4540.92
Ahmadabad,sunflower,2025,1008.15
Ahmadabad,sweet potato,2025,1690.96
Ahmadabad,tobacco,2025,398.21
Ahmadabad,tomato,2025,2046.24
Ahmadabad,turmeric,2025,365.04
Ahmadabad,varagu,2025,321.04
Ahmadabad,wheat,2025,729.0
Ahmadabad,barley,2025,5247.09
Ahmadabad,dry ginger,2025,211.87
Ahmadabad,other  rabi pulses,2025,469.86
Ahmadabad,peas & beans (pulses),2025,161.56
Ahmadabad,sannhamp,2025,7.79
Ahmadabad,guar seed,2025,3435.12
Ahmadabad,jute,2025,678.55
Ahmadabad,moth,2025,1221.44
Ahmadabad,oilseeds total,2025,1437.34
Ahmadabad,total foodgrain,2025,5418.24
Ahmadabad,other cereals & millets,2025,804.03
Ahmadabad,pulses total,2025,6819.25
Ahmadabad,grapes,2025,404.76
Ahmadabad,niger seed,2025,577.43
